,x,y
114,0.228,-1.261017560339064
115,0.23,-1.3387138370325469
116,0.232,-1.4144471591778258
117,0.234,-1.4881666518207803
118,0.23600000000000002,-1.5598233890288848
119,0.23800000000000002,-1.629370427050845
120,0.24,-1.6967628357732965
121,0.242,-1.7619577284472523
122,0.244,-1.8249142896584944
123,0.246,-1.885593801518037
124,0.248,-1.943959668050364
125,0.25,-1.9999774377590551
126,0.252,-2.05361482435101
127,0.254,-2.1048417256024297
128,0.256,-2.153630240351341
129,0.258,-2.1999546836033055
130,0.26,-2.243791599738759
131,0.262,-2.285119773812133
132,0.264,-2.323920240934768
133,0.266,-2.3601762937354276
134,0.268,-2.3938734878939307
135,0.27,-2.4249996457452676
136,0.272,-2.4535448579533745
137,0.274,-2.4795014832553877
138,0.276,-2.502864146279163
139,0.278,-2.523629733438397
140,0.28,-2.541797386911594
141,0.28200000000000003,-2.557368496712816
142,0.28400000000000003,-2.570346690863831
143,0.28600000000000003,-2.5807378236790743
144,0.28800000000000003,-2.588549962176479
145,0.29,-2.5937933706289296
146,0.292,-2.5964804932727676
147,0.294,-2.5966259351914345
148,0.296,-2.5942464413939104
149,0.298,-2.5893608741093073
150,0.3,-2.5819901883204492
151,0.302,-2.572157405560907
152,0.304,-2.559887586001478
153,0.306,-2.545207798853548
154,0.308,-2.528147091118346
155,0.31,-2.5087364547124467
156,0.312,-2.4870087920013817
157,0.314,-2.4629988797745574
158,0.316,-2.4367433316960296
159,0.318,-2.4082805592670202
160,0.32,-2.3776507313373663
161,0.322,-2.34489573220427
162,0.324,-2.310059118338003
163,0.326,-2.2731860737753498
164,0.328,-2.2343233642227136
165,0.33,-2.193519289911927
166,0.332,-2.1508236372528033
167,0.334,-2.106287629327536
168,0.336,-2.0599638752730103
169,0.338,-2.011906318597963
170,0.34,-1.9621701844828716
171,0.342,-1.9108119261112655
172,0.34400000000000003,-1.8578891700819078
173,0.34600000000000003,-1.8034606609521076
174,0.34800000000000003,-1.7475862049630566
175,0.35000000000000003,-1.6903266129987466
176,0.352,-1.6317436428306733
177,0.354,-1.5718999407009921
178,0.356,-1.5108589822974146
179,0.358,-1.4486850131734565
180,0.36,-1.3854429886681636
181,0.362,-1.3211985133797506
182,0.364,-1.2560177802478756
183,0.366,-1.1899675092995659
184,0.368,-1.1231148861140046
185,0.37,-1.0555275000615163
186,0.372,-0.9872732823722298
187,0.374,-0.9184204440899365
188,0.376,-0.8490374139666459
189,0.378,-0.7791927763533266
190,0.38,-0.7089552091421996
191,0.382,-0.6383934218158049
192,0.384,-0.5675760936578838
193,0.386,-0.4965718121808343
194,0.388,-0.42544901182424466
195,0.39,-0.35427591297863176
196,0.392,-0.2831204613881279
197,0.394,-0.2120502679854168
198,0.396,-0.14113254921173085
199,0.398,-0.07043406787417957
200,0.4,-2.107459209756816e-05
201,0.402,0.07004075011652816
202,0.404,0.13968635305817323
203,0.406,0.20885136484676908
204,0.40800000000000003,0.27747215559767463
205,0.41000000000000003,0.3454858897845404
206,0.41200000000000003,0.41283058021182417
207,0.41400000000000003,0.47944514105660296
208,0.41600000000000004,0.5452694399342795
209,0.418,0.6102443489437197
210,0.42,0.6743117946484071
211,0.422,0.7374148069512063
212,0.424,0.7994975668214562
213,0.426,0.8605054528342088
214,0.428,0.9203850864825789
215,0.43,0.9790843762253896
216,0.432,1.0365525602334875
217,0.434,1.0927402477993797
218,0.436,1.1475994593761067
219,0.438,1.2010836652126065
220,0.44,1.253147822554126
221,0.442,1.3037484113776365
222,0.444,1.352843468633589
223,0.446,1.4003926209667468
224,0.448,1.4463571158902955
225,0.45,1.490699851388874
226,0.452,1.5333854039276351
227,0.454,1.5743800548459823
228,0.456,1.613651815116092
229,0.458,1.6511704484478957
230,0.46,1.686907492723731
231,0.462,1.72083627974741
232,0.464,1.7529319532940444
233,0.466,1.7831714854485305
234,0.468,1.8115336912221722
235,0.47000000000000003,1.8379992414385418
236,0.47200000000000003,1.862550673881246
237,0.47400000000000003,1.8851724026978638
238,0.47600000000000003,1.9058507260559752
239,0.47800000000000004,1.9245738320487151
240,0.48,1.941331802848995
241,0.482,1.9561166171130524
242,0.484,1.968922150635607
243,0.486,1.9797441752605571
244,0.488,1.9885803560526192
245,0.49,1.9954302467370149
246,0.492,2.0002952834157823
247,0.494,2.003178776570921
248,0.496,2.004085901366059
249,0.498,2.0030236862599344
250,0.5,2.000000999946428
251,0.502,1.9950285366374527
252,0.504,1.988118799706438
253,0.506,1.9792860837116508
254,0.508,1.9685464548200073
255,0.51,1.9559177296534662
256,0.512,1.9414194525815198
257,0.514,1.9250728714846155
258,0.516,1.9069009120147469
259,0.518,1.8869281503807613
260,0.52,1.8651807846872048
261,0.522,1.8416866048568161
262,0.524,1.8164749611680244
263,0.526,1.7895767314399695
264,0.528,1.7610242868988137
265,0.53,1.7308514567601467
266,0.532,1.6990934915635083
267,0.534,1.6657870252960314
268,0.536,1.6309700363433077
269,0.538,1.5946818073065046
270,0.54,1.5569628837258258
271,0.542,1.5178550317512165
272,0.544,1.4774011948021741
273,0.546,1.4356454492593371
274,0.548,1.3926329592313178
275,0.55,1.3484099304410324
276,0.552,1.3030235632764615
277,0.554,1.2565220050514818
278,0.556,1.2089543015230055
279,0.558,1.1603703477112992
280,0.56,1.1108208380708242
281,0.562,1.0603572160595207
282,0.5640000000000001,1.009031623154833
283,0.5660000000000001,0.9568968473652366
284,0.5680000000000001,0.9040062712863556
285,0.5700000000000001,0.8504138197510779
286,0.5720000000000001,0.7961739071233569
287,0.5740000000000001,0.7413413842856061
288,0.5760000000000001,0.6859714853697372
289,0.578,0.6301197742820792
290,0.58,0.573842091072406
291,0.582,0.5171944981974991
292,0.584,0.4602332267294175
293,0.586,0.40301462255880993
294,0.588,0.3455950926433958
295,0.59,0.28803105135158047
296,0.592,0.23037886695102203
297,0.594,0.17269480829167583
298,0.596,0.11503499173259427
299,0.598,0.05745532836139502
300,0.6,1.1471554936407569e-05
301,0.602,-0.05724123507067733
302,0.604,-0.11424780927308918
303,0.606,-0.17095368131258126
304,0.608,-0.22730474455022928
305,0.61,-0.28324740546937915
